userID,smoker,drink_level,dress_preference,user_ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height,new_user_cuisine,new_user_payments,user_avg_rating,user_avg_food_rating,user_avg_service_rating,user_avg_rating_text,user_avg_rating_bin,placeID,name,address,city,country,alcohol,smoking_area,dress_code,accessibility,price,state,res_ambience,franchise,area,other_services,res_accept_pay,res_cuisine,res_parking,res_avg_rating,res_avg_food,res_avg_service,res_avg_rating_text,res_avg_rating_bin,cus_res_rating,cus_res_food_rating,cus_res_service_rating
U1050,0,social drinker,no preference,family,car owner,single,independent,1989,variety,hard-worker,none,student,green,73,medium,1.71,Mexican,only cash,0,1,0.14,Unsatisfactory,0,132560,puesto de gorditas,frente al tecnologico,victoria,mexico,No_Alcohol_Served,permitted,informal,no_accessibility,low,tamaulipas,familiar,f,open,none,only cash,Regional,public,0.5,1,0.25,Unsatisfactory,0,0,2,0
U1067,0,abstemious,no preference,family,public,single,independent,1987,technology,thrifty-protector,Christian,student,green,92,medium,1.73,Mexican,only cash,1,0.83,1,Satisfactory,1,132560,puesto de gorditas,frente al tecnologico,victoria,mexico,No_Alcohol_Served,permitted,informal,no_accessibility,low,tamaulipas,familiar,f,open,none,only cash,Regional,public,0.5,1,0.25,Unsatisfactory,0,1,0,0
U1082,1,abstemious,informal,friends,public,single,NULL,1989,variety,hard-worker,Catholic,student,black,63,medium,1.69,Mexican,only cash,0.11,0.11,0.11,Unsatisfactory,0,132560,puesto de gorditas,frente al tecnologico,victoria,mexico,No_Alcohol_Served,permitted,informal,no_accessibility,low,tamaulipas,familiar,f,open,none,only cash,Regional,public,0.5,1,0.25,Unsatisfactory,0,0,0,0
U1087,0,abstemious,no preference,solitary,public,single,independent,1989,variety,thrifty-protector,Catholic,student,black,53,medium,1.55,Chinese,only cash,1.25,1.88,0.88,Satisfactory,1,132560,puesto de gorditas,frente al tecnologico,victoria,mexico,No_Alcohol_Served,permitted,informal,no_accessibility,low,tamaulipas,familiar,f,open,none,only cash,Regional,public,0.5,1,0.25,Unsatisfactory,0,1,2,1
U1129,0,casual drinker,no preference,friends,public,single,independent,1989,variety,thrifty-protector,none,student,purple,69,low,1.69,Mexican,only cash,0.25,0.5,0.75,Unsatisfactory,0,132561,cafe ambar,NULL,NULL,NULL,No_Alcohol_Served,none,informal,completely,low,NULL,familiar,f,closed,none,NULL,NULL,none,0.75,1,1,Unsatisfactory,0,1,2,2
U1130,0,abstemious,NULL,NULL,NULL,NULL,NULL,1989,none,hard-worker,none,NULL,yellow,40,NULL,1.2,Mexican,NULL,0.25,0.5,0.25,Unsatisfactory,0,132561,cafe ambar,NULL,NULL,NULL,No_Alcohol_Served,none,informal,completely,low,NULL,familiar,f,closed,none,NULL,NULL,none,0.75,1,1,Unsatisfactory,0,0,0,0
U1065,0,abstemious,formal,friends,public,single,independent,1989,technology,conformist,Catholic,student,green,55,medium,1.72,Mexican,only cash,1.2,0.8,1.2,Satisfactory,1,132561,cafe ambar,NULL,NULL,NULL,No_Alcohol_Served,none,informal,completely,low,NULL,familiar,f,closed,none,NULL,NULL,none,0.75,1,1,Unsatisfactory,0,1,1,1
U1026,0,abstemious,formal,family,public,single,independent,1989,technology,hunter-ostentatious,Catholic,student,red,49,medium,1.55,Mexican,multiple,1,1.4,1,Satisfactory,1,132561,cafe ambar,NULL,NULL,NULL,No_Alcohol_Served,none,informal,completely,low,NULL,familiar,f,closed,none,NULL,NULL,none,0.75,1,1,Unsatisfactory,0,1,1,1
U1011,0,abstemious,no preference,family,public,single,independent,1989,variety,hard-worker,Catholic,student,purple,68,medium,1.78,Mexican,only cash,1.33,1.33,0.67,Satisfactory,1,132564,churchs,NULL,NULL,NULL,No_Alcohol_Served,none,informal,completely,low,NULL,familiar,f,closed,none,NULL,NULL,none,1.25,1.25,1.5,Satisfactory,1,1,1,1
U1060,0,casual drinker,formal,family,public,single,independent,1991,technology,thrifty-protector,Catholic,student,blue,82,medium,1.84,multiple,only cash,1.75,1.75,1.75,Satisfactory,1,132564,churchs,NULL,NULL,NULL,No_Alcohol_Served,none,informal,completely,low,NULL,familiar,f,closed,none,NULL,NULL,none,1.25,1.25,1.5,Satisfactory,1,2,2,2
U1039,0,social drinker,no preference,friends,NULL,single,independent,1989,none,hard-worker,none,student,yellow,83,medium,1.73,Regional,only cash,1.33,1.33,1.67,Satisfactory,1,132564,churchs,NULL,NULL,NULL,No_Alcohol_Served,none,informal,completely,low,NULL,familiar,f,closed,none,NULL,NULL,none,1.25,1.25,1.5,Satisfactory,1,1,1,2
U1080,1,social drinker,formal,friends,car owner,single,independent,1987,variety,hard-worker,Catholic,student,white,80,low,1.82,Mexican,only cash,1.33,1.33,1.33,Satisfactory,1,132564,churchs,NULL,NULL,NULL,No_Alcohol_Served,none,informal,completely,low,NULL,familiar,f,closed,none,NULL,NULL,none,1.25,1.25,1.5,Satisfactory,1,1,1,1
U1083,0,abstemious,NULL,NULL,NULL,NULL,NULL,1981,none,hard-worker,none,NULL,yellow,40,NULL,1.6,Mexican,only cash,1.44,1.67,1.56,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,2,2,2
U1090,0,social drinker,no preference,friends,car owner,single,independent,1988,variety,thrifty-protector,Catholic,student,blue,50,medium,1.54,Tex-Mex,only cash,1.8,1.9,1.9,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,1,2
U1091,0,casual drinker,no preference,family,car owner,single,independent,1989,eco-friendly,thrifty-protector,none,student,red,40,low,1.7,multiple,only cash,1.11,1.44,1.44,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,2,2,2
U1092,0,abstemious,formal,solitary,public,single,dependent,1990,variety,thrifty-protector,Catholic,NULL,red,70,medium,1.69,Game,only cash,0.83,0.33,0.33,Unsatisfactory,0,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,0,0
U1134,0,casual drinker,no preference,family,public,single,independent,1991,variety,hard-worker,Catholic,student,black,52,medium,1.65,Mexican,only cash,1.44,1.19,1.19,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,0,0,0
U1108,0,abstemious,informal,solitary,public,single,independent,1983,technology,thrifty-protector,Catholic,student,blue,76,medium,1.81,multiple,multiple,1.4,1.6,1.2,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,2,1
U1112,1,casual drinker,formal,friends,car owner,single,independent,1991,none,hard-worker,Catholic,student,white,69,medium,1.69,Mexican,only cash,0.38,0.23,0.46,Unsatisfactory,0,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,0,0,1
U1046,0,social drinker,no preference,friends,car owner,single,independent,1990,retro,hard-worker,Catholic,student,black,82,medium,1.84,Bar,only cash,1.33,1.44,1.33,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,2,0
U1061,0,social drinker,no preference,friends,car owner,single,independent,1990,none,hard-worker,Catholic,professional,blue,40,medium,1.76,Mexican,multiple,1.61,1.83,1.67,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,1,2,2
U1055,0,abstemious,no preference,family,car owner,married,dependent,1952,none,hard-worker,Catholic,professional,blue,70,medium,1.66,Breakfast-Brunch,only cash,1.9,2,2,Satisfactory,1,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,2,2,2
U1073,0,abstemious,informal,solitary,car owner,widow,kids,1989,none,hard-worker,none,unemployed,yellow,118,medium,1.79,American,only cash,0,0,0,Unsatisfactory,0,132572,Cafe Chaires,NULL,San Luis Potosi,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,San Luis Potosi,familiar,f,closed,none,only cash,Cafeteria,yes,1,1,0.93,Satisfactory,1,0,0,0
